timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:50:21.954,5,80,48980,81559,28,143.92,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:50:21.970,6,86,48932,81559,30,148.49,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:50:21.975,7,83,48500,81559,27,144.42,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:50:23.359,0,25,48222,81559,31,146.39,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:50:23.367,1,84,48198,81559,32,144.56,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:50:23.372,2,85,48150,81559,30,146.34,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:50:23.375,3,82,47718,81559,30,148.22,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:50:23.378,4,81,48836,81559,32,144.83,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:50:23.381,5,82,48980,81559,28,143.13,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:50:23.386,6,83,48932,81559,30,147.78,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:50:23.389,7,82,48500,81559,27,144.18,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:50:24.740,0,17,48222,81559,31,149.49,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:50:24.746,1,82,48198,81559,33,146.05,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:50:24.752,2,85,48150,81559,29,148.33,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:50:24.762,3,90,47718,81559,30,150.03,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:50:24.774,4,82,48836,81559,32,145.77,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
