timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 11:46:39.299,3,0,25171,81559,26,119.72,
2026/02/02 11:46:39.307,4,0,25781,81559,29,117.73,
2026/02/02 11:46:39.314,5,0,25829,81559,26,116.62,
2026/02/02 11:46:39.321,6,0,25829,81559,26,120.83,
2026/02/02 11:46:39.329,7,0,25469,81559,24,116.11,
2026/02/02 11:46:40.537,0,0,25475,81559,28,119.11,
2026/02/02 11:46:40.544,1,0,25523,81559,30,118.85,
2026/02/02 11:46:40.548,2,0,25523,81559,27,120.58,
2026/02/02 11:46:40.557,3,0,25171,81559,26,119.67,
2026/02/02 11:46:40.569,4,0,25781,81559,29,117.76,
2026/02/02 11:46:40.578,5,0,25829,81559,26,116.72,
2026/02/02 11:46:40.585,6,0,25829,81559,26,120.17,
2026/02/02 11:46:40.592,7,0,25469,81559,24,116.12,
2026/02/02 11:46:41.772,0,0,25475,81559,28,119.14,
2026/02/02 11:46:41.779,1,0,25523,81559,30,118.86,
2026/02/02 11:46:41.782,2,0,25523,81559,27,120.61,
2026/02/02 11:46:41.787,3,0,25171,81559,26,119.56,
2026/02/02 11:46:41.800,4,0,25781,81559,29,117.73,
2026/02/02 11:46:41.807,5,0,25829,81559,26,116.68,
2026/02/02 11:46:41.814,6,0,25829,81559,27,120.05,
2026/02/02 11:46:41.824,7,0,25469,81559,24,116.03,
2026/02/02 11:46:43.045,0,0,25475,81559,28,119.15,
2026/02/02 11:46:43.050,1,0,25523,81559,30,118.84,
2026/02/02 11:46:43.051,2,0,25523,81559,27,120.61,
2026/02/02 11:46:43.053,3,0,25171,81559,26,119.70,
2026/02/02 11:46:43.055,4,0,25781,81559,29,117.77,
2026/02/02 11:46:43.055,5,0,25829,81559,26,116.70,
2026/02/02 11:46:43.063,6,0,25829,81559,27,120.01,
2026/02/02 11:46:43.070,7,0,25469,81559,24,116.00,
2026/02/02 11:46:44.278,0,0,25475,81559,28,119.17,
2026/02/02 11:46:44.284,1,0,25523,81559,30,118.86,
2026/02/02 11:46:44.285,2,0,25523,81559,27,120.62,
2026/02/02 11:46:44.286,3,0,25171,81559,26,119.77,
2026/02/02 11:46:44.287,4,0,25781,81559,29,117.78,
2026/02/02 11:46:44.291,5,0,25829,81559,26,116.67,
2026/02/02 11:46:44.300,6,0,25829,81559,27,120.04,
2026/02/02 11:46:44.304,7,0,25469,81559,24,115.75,
2026/02/02 11:46:45.501,0,0,25475,81559,28,119.16,
2026/02/02 11:46:45.502,1,0,25523,81559,30,118.85,
2026/02/02 11:46:45.503,2,0,25523,81559,27,120.61,
2026/02/02 11:46:45.504,3,0,25171,81559,27,119.76,
2026/02/02 11:46:45.505,4,0,25781,81559,29,117.79,
2026/02/02 11:46:45.506,5,0,25829,81559,26,116.63,
2026/02/02 11:46:45.507,6,0,25829,81559,27,120.07,
2026/02/02 11:46:45.508,7,0,25469,81559,24,116.12,
2026/02/02 11:46:46.667,0,0,25475,81559,28,119.20,
2026/02/02 11:46:46.669,1,0,25523,81559,30,118.95,
2026/02/02 11:46:46.670,2,0,25523,81559,27,120.59,
2026/02/02 11:46:46.671,3,0,25171,81559,27,119.64,
2026/02/02 11:46:46.672,4,0,25781,81559,29,117.78,
2026/02/02 11:46:46.673,5,0,25829,81559,26,116.66,
2026/02/02 11:46:46.673,6,0,25829,81559,27,120.03,
2026/02/02 11:46:46.674,7,0,25469,81559,24,116.11,
2026/02/02 11:46:47.927,0,0,25475,81559,28,119.18,
2026/02/02 11:46:47.935,1,0,25523,81559,30,118.88,
2026/02/02 11:46:47.944,2,0,25523,81559,27,120.63,
2026/02/02 11:46:47.952,3,0,25171,81559,27,119.64,
2026/02/02 11:46:47.961,4,0,25781,81559,29,117.79,
2026/02/02 11:46:47.969,5,0,25829,81559,26,116.75,
2026/02/02 11:46:47.975,6,0,25829,81559,27,120.05,
2026/02/02 11:46:47.982,7,0,25469,81559,24,116.14,
2026/02/02 11:46:49.145,0,0,25475,81559,28,119.24,
2026/02/02 11:46:49.147,1,0,25523,81559,30,118.87,
2026/02/02 11:46:49.148,2,0,25523,81559,27,120.62,
2026/02/02 11:46:49.155,3,0,25171,81559,27,119.77,
2026/02/02 11:46:49.167,4,0,25781,81559,29,117.83,
2026/02/02 11:46:49.173,5,0,25829,81559,27,116.67,
2026/02/02 11:46:49.178,6,0,25829,81559,27,120.09,
2026/02/02 11:46:49.186,7,0,25469,81559,24,116.15,
2026/02/02 11:46:50.368,0,0,25475,81559,28,119.25,
2026/02/02 11:46:50.375,1,0,25523,81559,30,118.90,
2026/02/02 11:46:50.381,2,0,25523,81559,27,120.63,
2026/02/02 11:46:50.386,3,0,25171,81559,27,119.83,
2026/02/02 11:46:50.395,4,0,25781,81559,29,117.84,
2026/02/02 11:46:50.398,5,0,25829,81559,27,116.71,
2026/02/02 11:46:50.403,6,0,25829,81559,27,120.15,
2026/02/02 11:46:50.410,7,0,25469,81559,24,116.16,
2026/02/02 11:46:51.613,0,0,25475,81559,28,119.26,
2026/02/02 11:46:51.619,1,0,25523,81559,30,118.90,
2026/02/02 11:46:51.628,2,0,25523,81559,27,120.65,
2026/02/02 11:46:51.632,3,0,25171,81559,27,119.83,
2026/02/02 11:46:51.637,4,0,25781,81559,29,117.83,
2026/02/02 11:46:51.647,5,0,25829,81559,27,116.70,
2026/02/02 11:46:51.656,6,0,25829,81559,27,120.13,
2026/02/02 11:46:51.664,7,0,25469,81559,24,116.16,
2026/02/02 11:46:52.850,0,0,25475,81559,28,119.24,
2026/02/02 11:46:52.853,1,0,25523,81559,30,118.91,
2026/02/02 11:46:52.858,2,0,25523,81559,27,120.62,
2026/02/02 11:46:52.864,3,0,25171,81559,27,119.72,
2026/02/02 11:46:52.865,4,0,25781,81559,29,117.84,
2026/02/02 11:46:52.866,5,0,25829,81559,27,116.65,
2026/02/02 11:46:52.873,6,0,25829,81559,27,120.10,
2026/02/02 11:46:52.878,7,0,25469,81559,24,116.16,
2026/02/02 11:46:54.049,0,0,25475,81559,28,119.31,
2026/02/02 11:46:54.054,1,0,25523,81559,30,118.89,
2026/02/02 11:46:54.059,2,0,25523,81559,27,120.67,
2026/02/02 11:46:54.062,3,0,25171,81559,27,119.73,
2026/02/02 11:46:54.063,4,0,25781,81559,29,117.86,
2026/02/02 11:46:54.064,5,0,25829,81559,27,116.67,
2026/02/02 11:46:54.065,6,0,25829,81559,27,120.06,
2026/02/02 11:46:54.070,7,0,25469,81559,24,116.13,
2026/02/02 11:46:55.251,0,0,25475,81559,28,119.24,
2026/02/02 11:46:55.252,1,0,25523,81559,30,118.88,
2026/02/02 11:46:55.253,2,0,25523,81559,28,120.64,
2026/02/02 11:46:55.253,3,0,25171,81559,27,119.87,
2026/02/02 11:46:55.254,4,0,25781,81559,29,117.86,
2026/02/02 11:46:55.255,5,0,25829,81559,27,116.73,
2026/02/02 11:46:55.256,6,0,25829,81559,27,120.08,
2026/02/02 11:46:55.257,7,0,25469,81559,24,116.09,
2026/02/02 11:46:56.427,0,0,25475,81559,28,119.29,
2026/02/02 11:46:56.432,1,0,25523,81559,30,118.94,
2026/02/02 11:46:56.435,2,0,25523,81559,28,120.67,
2026/02/02 11:46:56.436,3,0,25171,81559,27,119.85,
2026/02/02 11:46:56.439,4,0,25781,81559,29,117.86,
2026/02/02 11:46:56.440,5,0,25829,81559,27,116.74,
2026/02/02 11:46:56.441,6,0,25829,81559,27,120.13,
2026/02/02 11:46:56.442,7,0,25469,81559,24,116.14,
2026/02/02 11:46:57.677,0,0,25475,81559,28,119.28,
2026/02/02 11:46:57.678,1,0,25523,81559,30,118.91,
2026/02/02 11:46:57.686,2,0,25523,81559,28,120.62,
2026/02/02 11:46:57.701,3,0,25171,81559,27,119.86,
2026/02/02 11:46:57.708,4,0,25781,81559,29,117.88,
2026/02/02 11:46:57.716,5,0,25829,81559,27,116.78,
2026/02/02 11:46:57.723,6,0,25829,81559,27,120.14,
2026/02/02 11:46:57.729,7,0,25469,81559,25,116.16,
2026/02/02 11:46:58.937,0,0,25475,81559,28,119.28,
2026/02/02 11:46:58.945,1,0,25523,81559,30,118.92,
2026/02/02 11:46:58.952,2,0,25523,81559,28,120.69,
2026/02/02 11:46:58.962,3,0,25171,81559,27,119.79,
2026/02/02 11:46:58.973,4,0,25781,81559,29,117.88,
2026/02/02 11:46:58.979,5,0,25829,81559,27,116.76,
2026/02/02 11:46:58.982,6,0,25829,81559,27,120.09,
2026/02/02 11:46:58.987,7,0,25469,81559,25,116.15,
2026/02/02 11:47:00.212,0,0,25475,81559,28,119.29,
2026/02/02 11:47:00.226,1,0,25523,81559,30,118.93,
2026/02/02 11:47:00.230,2,0,25523,81559,28,120.67,
2026/02/02 11:47:00.233,3,0,25171,81559,27,119.67,
2026/02/02 11:47:00.247,4,0,25781,81559,29,117.89,
2026/02/02 11:47:00.254,5,0,25829,81559,27,116.73,
2026/02/02 11:47:00.265,6,0,25829,81559,27,120.12,
2026/02/02 11:47:00.273,7,0,25469,81559,25,116.16,
2026/02/02 11:47:01.504,0,0,25475,81559,28,119.32,
2026/02/02 11:47:01.505,1,0,25523,81559,30,118.87,
2026/02/02 11:47:01.507,2,0,25523,81559,28,120.67,
2026/02/02 11:47:01.510,3,0,25171,81559,27,119.87,
2026/02/02 11:47:01.512,4,0,25781,81559,29,117.91,
2026/02/02 11:47:01.513,5,0,25829,81559,27,116.79,
2026/02/02 11:47:01.519,6,0,25829,81559,27,120.16,
2026/02/02 11:47:01.526,7,0,25469,81559,25,116.23,
2026/02/02 11:47:02.726,0,0,25475,81559,28,119.31,
2026/02/02 11:47:02.727,1,0,25523,81559,30,118.90,
2026/02/02 11:47:02.728,2,0,25523,81559,28,120.70,
2026/02/02 11:47:02.728,3,0,25171,81559,27,119.97,
2026/02/02 11:47:02.729,4,0,25781,81559,29,117.89,
2026/02/02 11:47:02.730,5,0,25829,81559,27,116.78,
2026/02/02 11:47:02.731,6,0,25829,81559,27,120.15,
2026/02/02 11:47:02.739,7,0,25469,81559,25,116.20,
2026/02/02 11:47:03.892,0,0,25475,81559,28,119.29,
2026/02/02 11:47:03.893,1,0,25523,81559,30,118.95,
2026/02/02 11:47:03.902,2,0,25523,81559,28,120.66,
2026/02/02 11:47:03.904,3,0,25171,81559,27,119.88,
2026/02/02 11:47:03.905,4,0,25781,81559,29,117.93,
2026/02/02 11:47:03.907,5,0,25829,81559,27,116.76,
2026/02/02 11:47:03.909,6,0,25829,81559,27,120.14,
2026/02/02 11:47:03.910,7,0,25469,81559,25,116.24,
2026/02/02 11:47:05.087,0,0,25475,81559,28,119.32,
