timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw
2026/02/02 09:37:17.426,2,91,77065,81559,37,302.74
2026/02/02 09:37:17.432,3,91,76551,81559,42,320.92
2026/02/02 09:37:17.437,4,91,77115,81559,43,297.22
2026/02/02 09:37:17.443,5,91,77617,81559,36,288.58
2026/02/02 09:37:17.463,6,91,77177,81559,41,302.20
2026/02/02 09:37:17.479,7,91,76677,81559,35,305.40
2026/02/02 09:37:18.822,0,92,76757,81559,42,311.12
2026/02/02 09:37:18.836,1,92,77241,81559,40,303.37
2026/02/02 09:37:18.850,2,91,77065,81559,37,304.35
2026/02/02 09:37:18.872,3,91,76551,81559,42,318.10
2026/02/02 09:37:18.881,4,91,77115,81559,44,310.63
2026/02/02 09:37:18.892,5,91,77617,81559,36,302.23
2026/02/02 09:37:18.905,6,91,77177,81559,41,311.15
2026/02/02 09:37:18.911,7,91,76677,81559,35,301.15
2026/02/02 09:37:20.121,0,92,76757,81559,41,314.95
2026/02/02 09:37:20.133,1,92,77241,81559,40,297.34
2026/02/02 09:37:20.158,2,91,77065,81559,37,308.01
2026/02/02 09:37:20.166,3,91,76551,81559,41,313.03
2026/02/02 09:37:20.174,4,91,77115,81559,43,305.27
2026/02/02 09:37:20.183,5,91,77617,81559,36,296.49
2026/02/02 09:37:20.187,6,87,77177,81559,41,309.99
2026/02/02 09:37:20.192,7,92,76677,81559,35,296.72
2026/02/02 09:37:21.429,0,91,76757,81559,42,309.05
2026/02/02 09:37:21.441,1,92,77241,81559,40,300.75
2026/02/02 09:37:21.450,2,92,77065,81559,37,301.84
2026/02/02 09:37:21.456,3,92,76551,81559,42,314.19
2026/02/02 09:37:21.468,4,92,77115,81559,43,309.04
2026/02/02 09:37:21.474,5,92,77617,81559,36,299.08
2026/02/02 09:37:21.479,6,92,77177,81559,41,310.91
2026/02/02 09:37:21.491,7,91,76677,81559,34,298.52
2026/02/02 09:37:22.977,0,92,76757,81559,41,310.87
2026/02/02 09:37:22.989,1,91,77241,81559,40,301.74
2026/02/02 09:37:23.000,2,92,77065,81559,37,304.55
2026/02/02 09:37:23.006,3,92,76551,81559,42,314.21
2026/02/02 09:37:23.013,4,91,77115,81559,43,305.80
2026/02/02 09:37:23.025,5,91,77617,81559,36,297.48
2026/02/02 09:37:23.030,6,91,77177,81559,41,308.61
2026/02/02 09:37:23.034,7,91,76677,81559,35,301.87
2026/02/02 09:37:24.465,0,91,76757,81559,41,302.98
2026/02/02 09:37:24.476,1,91,77241,81559,40,296.99
2026/02/02 09:37:24.488,2,92,77065,81559,37,295.92
2026/02/02 09:37:24.495,3,92,76551,81559,42,312.06
2026/02/02 09:37:24.501,4,91,77115,81559,43,302.70
2026/02/02 09:37:24.509,5,91,77617,81559,35,296.53
2026/02/02 09:37:24.515,6,91,77177,81559,41,307.00
2026/02/02 09:37:24.520,7,91,76677,81559,34,296.43
2026/02/02 09:37:25.886,0,87,76757,81559,41,309.11
2026/02/02 09:37:25.898,1,86,77241,81559,40,296.96
2026/02/02 09:37:25.909,2,92,77065,81559,37,301.05
2026/02/02 09:37:25.915,3,91,76551,81559,41,310.51
2026/02/02 09:37:25.923,4,86,77115,81559,43,300.01
2026/02/02 09:37:25.933,5,86,77617,81559,36,292.81
2026/02/02 09:37:25.938,6,86,77177,81559,41,305.40
2026/02/02 09:37:25.955,7,91,76677,81559,35,297.82
2026/02/02 09:37:27.304,0,92,76757,81559,41,313.31
2026/02/02 09:37:27.318,1,92,77241,81559,40,302.69
2026/02/02 09:37:27.327,2,91,77065,81559,37,305.77
2026/02/02 09:37:27.337,3,91,76551,81559,42,318.87
2026/02/02 09:37:27.346,4,91,77115,81559,43,309.53
