timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:31:09.072,7,99,77012,81559,37,369.30,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:10.482,0,98,77456,81559,42,362.37,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:10.495,1,98,77394,81559,42,358.08,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:10.502,2,98,77274,81559,39,360.37,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:10.508,3,88,76694,81559,43,361.86,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:10.514,4,99,77628,81559,45,357.18,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:10.519,5,98,77848,81559,38,356.81,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:10.523,6,99,77650,81559,42,365.77,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:10.528,7,97,77012,81559,36,355.73,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:11.959,0,97,77456,81559,42,359.75,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:11.969,1,98,77394,81559,41,353.89,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:11.976,2,99,77274,81559,39,352.87,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:11.981,3,94,76694,81559,42,361.14,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:11.986,4,98,77628,81559,45,348.17,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:11.991,5,99,77848,81559,37,348.13,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:11.996,6,98,77650,81559,42,359.45,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:12.000,7,98,77012,81559,36,347.54,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:13.466,0,92,77456,81559,40,365.82,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:13.475,1,97,77394,81559,40,352.47,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:13.482,2,99,77274,81559,37,363.12,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:13.487,3,98,76694,81559,42,364.14,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:13.491,4,99,77628,81559,44,349.30,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:13.495,5,96,77848,81559,36,354.95,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:13.498,6,98,77650,81559,41,359.35,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:13.502,7,99,77012,81559,35,353.57,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:15.082,0,99,77456,81559,43,369.66,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:15.092,1,99,77394,81559,42,359.76,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:15.099,2,97,77274,81559,39,362.66,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:15.108,3,96,76694,81559,43,375.48,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:15.113,4,96,77628,81559,45,366.58,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:15.116,5,99,77848,81559,38,360.01,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:15.120,6,97,77650,81559,43,371.13,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:15.123,7,84,77012,81559,37,360.89,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:16.864,0,98,77456,81559,43,388.25,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:16.891,1,99,77394,81559,42,377.54,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:16.900,2,99,77274,81559,39,368.40,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:16.914,3,98,76694,81559,44,393.33,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:16.925,4,98,77628,81559,46,380.61,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:16.931,5,99,77848,81559,38,374.16,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:16.942,6,98,77650,81559,43,386.61,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:16.949,7,98,77012,81559,37,379.24,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:18.488,0,97,77456,81559,43,368.31,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:18.498,1,96,77394,81559,42,361.77,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:18.506,2,96,77274,81559,39,359.72,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:18.512,3,97,76694,81559,43,377.46,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:18.516,4,97,77628,81559,45,363.04,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:18.528,5,97,77848,81559,38,360.47,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:18.533,6,79,77650,81559,43,366.12,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:18.538,7,96,77012,81559,37,356.23,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:19.999,0,99,77456,81559,43,394.07,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:20.010,1,99,77394,81559,42,375.36,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:20.018,2,99,77274,81559,39,375.57,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:20.022,3,99,76694,81559,44,396.74,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:20.026,4,98,77628,81559,46,379.35,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:20.030,5,99,77848,81559,38,379.24,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:20.034,6,99,77650,81559,43,386.19,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:20.037,7,99,77012,81559,37,380.14,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:21.631,0,99,77456,81559,43,389.41,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:21.641,1,99,77394,81559,42,376.49,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:21.648,2,99,77274,81559,40,374.86,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:21.652,3,99,76694,81559,44,398.34,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:21.657,4,99,77628,81559,46,379.63,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:21.661,5,99,77848,81559,38,377.89,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:21.665,6,99,77650,81559,43,387.11,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:21.669,7,99,77012,81559,37,376.42,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:23.148,0,98,77456,81559,43,369.42,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:23.158,1,99,77394,81559,42,364.28,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:23.166,2,99,77274,81559,39,361.21,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:23.171,3,99,76694,81559,44,378.50,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:23.175,4,94,77628,81559,46,358.06,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:23.182,5,99,77848,81559,38,355.76,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:23.185,6,95,77650,81559,43,365.98,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:23.189,7,99,77012,81559,37,359.75,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:24.939,0,98,77456,81559,43,383.80,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:24.957,1,98,77394,81559,42,370.54,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:24.964,2,98,77274,81559,39,369.69,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:24.971,3,98,76694,81559,44,388.41,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:24.978,4,99,77628,81559,46,375.73,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:25.004,5,99,77848,81559,38,377.41,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:25.022,6,99,77650,81559,43,384.45,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:25.040,7,99,77012,81559,37,375.04,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:26.459,0,99,77456,81559,43,379.45,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:26.467,1,99,77394,81559,42,369.06,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:26.473,2,98,77274,81559,39,366.09,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:26.487,3,99,76694,81559,44,377.96,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:26.506,4,97,77628,81559,45,371.98,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:26.525,5,99,77848,81559,38,368.05,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:26.537,6,87,77650,81559,42,373.11,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:26.548,7,95,77012,81559,36,366.22,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:28.251,0,99,77456,81559,44,397.37,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:28.261,1,99,77394,81559,43,379.49,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:28.268,2,99,77274,81559,40,393.51,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:28.272,3,99,76694,81559,45,400.71,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:28.276,4,99,77628,81559,46,388.28,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:28.280,5,99,77848,81559,38,385.46,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:28.284,6,99,77650,81559,44,392.83,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:28.287,7,99,77012,81559,37,389.35,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:29.732,0,98,77456,81559,43,382.73,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:29.742,1,97,77394,81559,42,361.67,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:29.749,2,98,77274,81559,39,362.95,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:29.754,3,97,76694,81559,44,392.13,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:29.758,4,96,77628,81559,46,368.59,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:29.762,5,98,77848,81559,38,364.74,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:29.765,6,86,77650,81559,43,377.11,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:29.769,7,97,77012,81559,37,375.98,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:31.504,0,97,77456,81559,44,390.88,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:31.514,1,97,77394,81559,42,391.83,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:31.521,2,97,77274,81559,40,381.74,ray::WorkerDict; sglang::scheduler_TP2_EP2
2026/02/02 13:31:31.525,3,98,76694,81559,45,395.12,ray::WorkerDict; sglang::scheduler_TP3_EP3
2026/02/02 13:31:31.531,4,99,77628,81559,46,378.36,ray::WorkerDict; sglang::scheduler_TP4_EP4
2026/02/02 13:31:31.537,5,97,77848,81559,38,382.72,ray::WorkerDict; sglang::scheduler_TP5_EP5
2026/02/02 13:31:31.541,6,80,77650,81559,44,392.62,ray::WorkerDict; sglang::scheduler_TP6_EP6
2026/02/02 13:31:31.545,7,98,77012,81559,37,377.68,ray::WorkerDict; sglang::scheduler_TP7_EP7
2026/02/02 13:31:33.129,0,99,77456,81559,44,393.13,ray::WorkerDict; sglang::scheduler_TP0_EP0
2026/02/02 13:31:33.135,1,99,77394,81559,43,368.23,ray::WorkerDict; sglang::scheduler_TP1_EP1
2026/02/02 13:31:33.140,2,99,77274,81559,40,379.04,ray::WorkerDict; sglang::scheduler_TP2_EP2
