timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 13:40:09.168,5,91,51924,81559,38,439.44,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:09.177,6,90,51022,81559,45,490.12,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:09.184,7,88,49442,81559,38,451.59,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:11.039,0,2,49390,81559,39,305.87,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:11.055,1,56,49126,81559,37,297.46,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:11.071,2,0,48988,81559,35,298.89,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:11.094,3,31,49248,81559,38,316.83,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:11.116,4,3,50538,81559,42,298.55,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:40:11.155,5,3,51924,81559,35,297.89,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:11.174,6,32,51022,81559,40,328.79,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:11.192,7,3,49442,81559,33,267.95,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:13.581,0,3,49390,81559,37,125.22,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:13.596,1,3,49126,81559,35,121.27,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:13.623,2,3,48988,81559,33,123.43,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:13.677,3,3,49248,81559,36,125.74,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:13.755,4,3,50538,81559,39,125.21,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:40:13.809,5,3,51924,81559,33,120.80,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:13.869,6,3,51022,81559,37,125.59,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:13.896,7,3,49442,81559,31,119.14,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:16.019,0,3,49390,81559,36,124.77,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:16.033,1,3,49126,81559,34,120.74,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:16.046,2,3,48988,81559,32,123.05,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:16.059,3,3,49248,81559,35,125.13,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:16.072,4,3,50538,81559,39,124.64,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:40:16.089,5,3,51924,81559,32,120.37,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:16.103,6,3,51022,81559,36,125.08,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:16.116,7,4,49442,81559,30,118.98,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:17.847,0,3,49390,81559,36,124.52,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:17.861,1,3,49126,81559,34,120.82,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:17.874,2,3,48988,81559,32,122.65,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:17.888,3,3,49248,81559,35,124.90,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:17.901,4,3,50538,81559,38,124.24,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
2026/02/02 13:40:17.913,5,3,51924,81559,32,120.10,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP5_EP5
2026/02/02 13:40:17.938,6,3,51022,81559,36,124.84,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP6_EP6
2026/02/02 13:40:17.952,7,3,49442,81559,29,118.75,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP7_EP7
2026/02/02 13:40:19.707,0,3,49390,81559,36,124.27,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP0_EP0
2026/02/02 13:40:19.720,1,3,49126,81559,34,120.44,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP1_EP1
2026/02/02 13:40:19.739,2,3,48988,81559,31,122.51,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP2_EP2
2026/02/02 13:40:19.765,3,3,49248,81559,34,124.09,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP3_EP3
2026/02/02 13:40:19.779,4,3,50538,81559,38,124.05,ray::WorkerDict.actor_rollout_update_actor; sglang::scheduler_TP4_EP4
